Name,D,Property 1,Status,create date
In order to retrieve it,Чтобы получить его,,,"Nov 10, 2018 11:08 PM"
incorporate query strings into our requests.,включить строки запроса в наши запросы.,,,"Nov 10, 2018 11:08 PM"
"To get a glimpse of how the event loop works,","Чтобы получить представление о том, как работает цикл событий,",phrase,,"Nov 10, 2018 11:08 PM"
retrieve,извлекать,,,"Nov 10, 2018 11:08 PM"
incorporate,инкорпорировать,,,"Nov 10, 2018 11:08 PM"
obnoxious,противный,,,"Nov 10, 2018 11:08 PM"
preliminary,предварительный,,,"Nov 10, 2018 11:08 PM"
tribute,дань,,,"Nov 10, 2018 11:08 PM"
in prophecy,в пророчестве,,,"Nov 10, 2018 11:08 PM"
immensity,необъятность,,,"Nov 10, 2018 11:08 PM"
perishing,погибающих,,,"Nov 10, 2018 11:08 PM"
shore,берег,,,"Nov 10, 2018 11:08 PM"